name,id,page,pro_url,description,list_price,sale_price,discount,image,time
Philips SPA8000B/94 120 watts 5.1 channel Multimedia Speaker,491295708,2,https://www.reliancedigital.in/philips-spa8000b-94-120-watts-5-1-channel-multimedia-speaker/p/491295708,"Music, Movies And Entertainment
With 120W sound output and Bluetooth connectivity , these speakers are perfect for playing music, games, movies and online videos on your TV ,MAC and PC.
USB Direct for easy MP3 music playback
Thanks to the complete file transferability, you can easily enjoy the convenience and fun of accessing more digital music via the built-in USB Direct.

* This Philips SPA8000B Speaker image is for illustration purpose only. Actual image may vary.
Works with any Bluetooth-enabled device
Bluetooth is a short range wireless communication technology that is both robust and energy-efficient. The technology allows easy wireless connection to other Bluetooth devices, so you can play your favorite music from any smartphones, tablets or even laptops including iPod or iPhone on Bluetooth-enabled speaker easily.

* This Philips SPA8000B Speaker image is for illustration purpose only. Actual image may vary.
5.1 Surround sound - Immersive sound experience
Be at the heart of the movie and gaming experience and totally immerse yourself in sound.
FM tuner for radio enjoyment
The built-in FM tuner lets you enjoy your favorite songs or news from your radio station every day. Simply tune into the station that you want to listen.
Perfect for MP3, PC, TV, CD and more
Connect your speakers to all your gear. A great way to listen to your MP3 player, PC, TV, CD, DVD and all your multimedia stuff.",9490.0,"₹9,490","30%(₹4,000)",https://www.reliancedigital.in/medias/Philips-SPA8000B-94-5.1-channel-Multimedia-Speaker-491295708-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3w0MDk1fGltYWdlL2pwZWd8aW1hZ2VzL2hmYS9oZTAvODk2Mjg2NjcwODUxMC5qcGd8MzZiOGMxNDk4ZGE1NWQxNjUxN2JlNTAxNjRjZWMxMGI3NTAzNWJkOTQ4MzhmNjAwMjI5MzhiNmRhMzM3Y2YzMg,1505154600000
Reconnect RAMSE2104 2.1 channel Multimedia Speaker,491134869,2,https://www.reliancedigital.in/reconnect-ramse2104-2-1-channel-multimedia-speaker/p/491134869,"Reconnect RAMSE2104 2.1 Channel Multimedia Speaker, sleekly designed in black, is a perfect blend of style and functionality. With superior quality audio output, these speakers enhance your entertainment experience while giving you realistic sound effects and background scores. Portable and lightweight, you can take this black multimedia speaker anywhere with ease and enjoy both indoor and outdoor parties. It gives power output of 20w+10w and is built for your convenience. It also features pre-installed USB functions that can be used to connect external media devices. Play your favourite music loud and clear when you bring home the Reconnect RAMSE2104 2.1 Channel Multimedia Speaker.",2099.0,"₹2,099",25%(₹700),https://www.reliancedigital.in/medias/Reconnect-RAMSE2104-2.1-channel-Multimedia-Speaker-491134869-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3w4NzEzfGltYWdlL3BuZ3xpbWFnZXMvaDllL2g1Ni84OTI4NjE1MjAyODQ2LnBuZ3wwYzIzNDJkMWE1OTQwOGQ3ODBiOTUzMmUxYjYxOTMzNDU4OTBlM2YzNDkzYzFlYTc1NGRiNDVjMWE3MzhjYjAx,1505232455841
Reconnect RABSB3001 Multimedia Speaker,491099282,2,https://www.reliancedigital.in/reconnect-rabsb3001-multimedia-speaker/p/491099282,"Bluetooth Connectivity - Play music wirelessly from your mobile and tablet through Bluetooth
NFC Connectivity - No hassle of searching devices, just touch and you are ready 

to play
SD card slot - Play music directly through your SD card
FM radio - Listen to your favorite radio station anytime anywhere
Built-in-microphone - Have conference calls with this devices.
Power bank function - Never run out of charge for your mobile with 4000 mAh 

battery for charging devices",2079.0,"₹2,079","65%(₹3,920)",https://www.reliancedigital.in/medias/Reconnect-RABSB3001-Multimedia-Speaker-491099282-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3w1ODE1fGltYWdlL3BuZ3xpbWFnZXMvaGViL2g1ZS84OTI4NjE3ODI0Mjg2LnBuZ3xmOTllZTQyYzM3MzAyNWI1OGYxMjdhOWE3NGQ3MzAzM2UwMzg2ZjQ1NTJkZDdlZTg0Zjc1Zjc0NzBjM2FiZTEw,1505232627173
"Logitech X50 Portable Bluetooth Multimedia Speaker, Grey",491216735,2,https://www.reliancedigital.in/logitech-x50-portable-bluetooth-multimedia-speaker-grey/p/491216735,"Bluetooth Wireless Speaker
Some music makes you want to move-and now you can. Bluetooth wireless connection gives you up to 30 feet of wireless freedom.
Rechargeable Battery
Keep playing for up to 5 continuous hours between recharges. This mini wireless speaker keeps the party going.
Auxiliary Input
Pair X50 with your Bluetooth wireless music device, or use a 3.5 mm jack to connect other players.
Small Size, Big Sound
Experience loud, exceptionally clear sound from a compact size.",799.0,₹799,"68%(₹1,696)",https://www.reliancedigital.in/medias/Logitech-X50-Portable-Bluetooth-Multimedia-Speaker-Grey-491216735-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMTYwNHxpbWFnZS9qcGVnfGltYWdlcy9oNTUvaGQ4Lzg5Mjg1MzA2NjE0MDYuanBnfDYzNmFhYmNlMzU2ODI0MzBlYzBlNjEwOWE2ZjYxODcxYjVlNzIwZTI4ODViYWExNDhjN2ZkMTM4MzE3Zjk1YjE,1505299900624
Philips BT4200/94 Wireless Portable Multimedia Speaker,491182250,2,https://www.reliancedigital.in/philips-bt4200-94-wireless-portable-multimedia-speaker/p/491182250,"Works with any Bluetooth-enabled device
Bluetooth is a short range wireless communication technology that is both robust and energy-efficient. The technology allows easy wireless connection to other Bluetooth devices, so you can play your favorite music from any smartphones, tablets or even laptops including iPod or iPhone on Bluetooth-enabled speaker easily.
 * This PHILIPS BT4200 Speaker image is for illustration purpose only. Actual image may vary.
Built-in rechargeable battery for music playback anywhere
Play music out loud - anytime, anywhere. The built-in rechargeable battery lets you enjoy your personal music without the fuss of entangled power cords and the inconvenient search for an electrical outlet. Enjoy great music with the freedom of portability now.
 * This PHILIPS BT4200 Speaker image is for illustration purpose only. Actual image may vary.
Audio-in for easy connection to almost any electronic device
 * This PHILIPS BT4200 Speaker image is for illustration purpose only. Actual image may vary.
Built-in microphone for hands-free phone calls
With its built-in microphone, this speaker also works as a speaker phone. When a call comes in, the music is put on pause and you can talk via the speaker. Call for a business meeting. Or, call your friend from a party. Either way, it works great.",1999.0,"₹1,999","43%(₹1,500)",https://www.reliancedigital.in/medias/Philips-BT4200-94-Wireless-Portable-Multimedia-Speaker-491182250-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3w0MTg3fGltYWdlL3BuZ3xpbWFnZXMvaDU0L2hhNC84OTI4NjgyNDQyNzgyLnBuZ3xhZjkxOGE3NWQzOGNlZWQ2MjQzNjdjMTllNDdjYmVlYWYyNTE5Y2M4MTA4NzA5ZGFhZTlmM2U4M2Q2MDIzY2Q1,1505299983616
"MARSHALL STANMORE II Bluetooth Speaker, Bluetooth v5.0, Qualcomm aptX wireless connectivity, Two 15 Watt Class D amplifiers, Multi-host functionality, Black",491694741,2,https://www.reliancedigital.in/marshall-stanmore-ii-bluetooth-speaker-bluetooth-v5-0-qualcomm-aptx-wireless-connectivity-two-15-watt-class-d-amplifiers-multi-host-functionality-black/p/491694741,"THE LEGENDARY ONE
Stanmore II is the most versatile speaker in the Marshall line-up and is perfect for any room, big or small. It delivers on the promise of high-performance sound that is synonymous with the Marshall name.
 * This Marshall MS Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
LARGER THAN LIFE SOUND
Stanmore II is the most versatile speaker in the Marshall line-up and is perfect for any room, big or small. Built with advanced components, it produces clean and precise audio, even at the highest levels.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
WIRELESSLY CONNECT
Bluetooth 5.0 and aptX technology provides lossless wireless sound at a range of up to 30 feet while maintaining connectivity. Use your Bluetooth enabled smartphone, tablet or computer to stream music directly to your speaker with no wires required.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
ICONIC MARSHALL DESIGN
Classic Marshall details such as a textured vinyl covering, salt and pepper fret and the iconic script logo adorn this speaker's sturdy wooden frame. Located on the front of the speaker is a brass plate, etched with the establishment date of 1962- a subtle nod to the brand's heritage and over 50 years of loud. You'll want to proudly display this speaker in any room.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
CUSTOMISE YOUR SOUND
Fine-tune your music to meet your requirements with the Marshall Bluetooth app or the analogue controls on your speaker's top panel.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
CUSTOMISE YOUR SOUND
Fine-tune your music to meet your requirements with the Marshall Bluetooth app or the analogue controls on your speaker's top panel.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
MULTI-HOST FUNCTIONALITY
This speaker features multi-host functionality so you can easily connect and switch between two Bluetooth devices.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
MARSHALL BLUETOOTH APP
In addition to the analogue control knobs, you can use the Marshall Bluetooth app to customize your listening experience or control the music you're listening to. Use the app to switch between EQ presets, set up stereo or ambient mode and adjust the intensity of the LED lights on the top panel. You can also wake up your speaker or put it into standby mode in a matter of seconds.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.\
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.
 * This Marshall Stanmore II Speaker image is for illustration purpose only. Actual image may vary.",29999.0,"₹29,999","25%(₹10,000)",https://www.reliancedigital.in/medias/Marshall-BT-Speaker-Stanmore-II-Black-Computer-Speakers-491694741-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjI3MHxpbWFnZS9qcGVnfGltYWdlcy9oMTkvaDljLzkzMzI4ODM1NTQzMzQuanBnfDJkZWRjMzhhZTkzNjAyNjhkOTgyZTVlYzcwMzg2NjNjMzBkMzk4YjIxZmM0OGY5NzU4ZTUzOGZhNTcwZDEyZDc,1587535196773
"Marshall Kilburn II Bluetooth Speaker, More than 20 hrs of playtime,  Upto 30 feet range, Bluetooth 5.0 aptX technology, IPX2 water-resistant, Powered by 36 Watts, Black",491694739,2,https://www.reliancedigital.in/marshall-kilburn-ii-bluetooth-speaker-more-than-20-hrs-of-playtime-upto-30-feet-range-bluetooth-5-0-aptx-technology-ipx2-water-resistant-powered-by-36-watts-black/p/491694739,"A STOUT-HEARTED HERO
Get on the road with Kilburn II. Free from the confines of wires and cords, this Bluetooth speaker offers 20+ hours of portable playtime on a single charge.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
20+ HOURS OF PORTABLE PLAYTIME
Kilburn II weighs just 2.5 kg and offers 20+ hours of portable playtime on a single charge. Its compact size and guitar inspired carrying strap make it perfect to take with you. You can track the speaker’s battery life with the visual battery indicator located on the top panel of the speaker.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
MULTI-DIRECTIONAL SOUND
This stout-hearted hero offers a larger than life multi-directional sound that will immerse you in your music, indoors or out. Powered by 36 Watts, its pronounced and articulate sound pushes the boundaries for a speaker of this size.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
BLUETOOTH 5.0 APTX
Kilburn II comes equipped with Bluetooth 5.0 aptX technology for wireless music play. Play music with any Bluetooth device at a range of up to 30 feet away from the speaker

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
DURABLE AND ROADWORTHY DESIGN
Kilburn II features flush mounted corner caps and a water-resistant design, making it supremely rugged and durable.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
IPX2 WATER-RESISTANT DESIGN
Kilburn II has an IPX2 water-resistant rating, so it’s able to withstand a little water.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
MULTI-HOST FUNCTIONALITY
Kilburn II features multi-host functionality so you can easily connect and switch between two Bluetooth devices.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
CUSTOMISE YOUR SOUND
Kilburn II’s top panel features analogue control knobs for bass, treble and volume, allowing you to fine-tune to the exact sound you desire.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.
QUICK CHARGE
Kilburn II has quick charging capabilities so you can pick up and leave at a moment’s notice. 20 minutes gets you 3 hours of portable playtime, while a fully charged battery can be reached in 2.5 hours.

* This Marshall MS-KLBN2 Speaker is for illustration purpose only. Actual image may vary.",29999.0,"₹29,999","6%(₹2,000)",https://www.reliancedigital.in/medias/MARSHALL-CAVENDISH-MS-KLBN2-BLK-Computer-Speakers-491694739-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMTE4NXxpbWFnZS9qcGVnfGltYWdlcy9oNjcvaDkxLzkyNzU3MDc0NTc1NjYuanBnfDkzNDQwZmQ4OTcxMDM2NzJmNzI0OTRkNWNiMmI1NzI0Y2JmOTIyYTIxZGM5YjJiNTVlYWY5ZmQ2YWNlYWFmNWY,1587535231661
"Reconnect Stereo Multimedia Speaker, Black",491183501,2,https://www.reliancedigital.in/reconnect-stereo-multimedia-speaker-black/p/491183501,"Bluetooth wireless stereo speaker
Audio output - 10W
3.5 mm Aux - in
Rechargeable Li ion battery
Play up to 7hrs Music
In - built microphone for use as speakerphone",499.0,₹499,"85%(₹2,800)",https://www.reliancedigital.in/medias/ec2c8225-c97e-45c5-8ae2-2a6bb4438093-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3w0NDgzfGltYWdlL2pwZWd8aW1hZ2VzL2g4Yy9oZjUvODg0MDQ1NTg0Nzk2Ni5qcGd8MTZjMDkzYjFlNDI2NDdlODQ3N2MzY2NmZDIzMmZhY2M2OTIwMTc4N2VlMjA3MjMwYjk2ZTQ4NzQ2YWUwOTE2Ng,1511944226029
Reconnect Rapoo Stereo Multimedia Speaker,491183517,2,https://www.reliancedigital.in/reconnect-rapoo-stereo-multimedia-speaker/p/491183517,"Wireless stereo speaker
Lightweight & portable
Play up to 10 hrs music
Bluetooth and NFC enabled
Audio Output - 6W
Metallic body and elegant design
Aux - in
Rechargeable Li ion battery
In - built microphone so can be used as speakerphone",599.0,₹599,"91%(₹6,300)",https://www.reliancedigital.in/medias/b93df9f4-0bdc-4a75-8d4c-6631dd56e15a-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3w2ODIwfGltYWdlL2pwZWd8aW1hZ2VzL2hjMC9oOTEvODg0MzIyOTcyNDcwMi5qcGd8NzljZjJiNDRlYWM2MWQxMDI1ZjNmZjE1ODYwNWNlNjViZjdkZDM2YTA2MzlkYzgzNzFlYTE3MmZiYTQ2NWI1MA,1512300928001
Philips MMS8085B/94 2.1 channel Multimedia Speaker,491320279,2,https://www.reliancedigital.in/philips-mms8085b-94-2-1-channel-multimedia-speaker/p/491320279,"
* This Philips MMS8085B 2.1Ch Speaker image is for illustration purpose only. Actual image may vary.

* This Philips MMS8085B 2.1Ch Speaker image is for illustration purpose only. Actual image may vary.

* This Philips MMS8085B 2.1Ch Speaker image is for illustration purpose only. Actual image may vary.

* This Philips MMS8085B 2.1Ch Speaker image is for illustration purpose only. Actual image may vary.

* This Philips MMS8085B 2.1Ch Speaker image is for illustration purpose only. Actual image may vary.

* This Philips MMS8085B 2.1Ch Speaker image is for illustration purpose only. Actual image may vary.",7890.0,"₹7,890","19%(₹1,800)",https://www.reliancedigital.in/medias/Philips-MMS8085B-computerSpeakers-491320279-i-1-1200Wx1200H-96Wx96H?context=bWFzdGVyfGltYWdlc3wxOTM0MnxpbWFnZS9qcGVnfGltYWdlcy9oYzIvaDM5LzkzNDA5MjI2MjYwNzguanBnfDViYjJjYTJlYjkyZTA2OGE2NDlkOWVkNWFhZTFlY2RkNzRlNTYyOGUxNDZlMzQ2OTQ2MGY5MWJjYzI2NzA0ZTk,1513231598468
